subID,Gain,Loss,Sure,Choice,CaseID,Round
246497641,10,0,5.1999998,0,1,1
246497641,7,0,2.7,0,1,2
246497641,10,0,2.5,0,1,3
246497641,7,0,0.5,1,1,4
246497641,10,-2.5,0,1,1,5
246497641,7,-7,0,1,1,6
246497641,1,-10,0,1,1,7
246497641,1.5,-10,0,1,1,8
246497641,10,0,0.5,1,1,9
246497641,2,-10,0,1,1,10
246649139,10,0,5.1999998,0,2,1
246649139,7,0,2.7,0,2,2
246649139,10,0,2.5,0,2,3
246649139,7,0,0.5,1,2,4
246649139,10,-2.5,0,0,2,5
246649139,7,-0.69999999,0,1,2,6
246649139,10,-1.5,0,1,2,7
246649139,7,-2,0,0,2,8
246649139,10,-1.7,0,0,2,9
246649139,7,-0.80000001,0,1,2,10
