riskygain,riskyloss,certainalternative,ischecktrial
2,-4,0,0
2,-2.222222222,0,0
2,-1.818181818,0,0
2,-1.538461538,0,0
2,-1.333333333,0,0
2,-1.176470588,0,0
2,-1.052631579,0,0
2,-0.952380952,0,0
2,-0.869565217,0,0
2,-0.8,0,0
2,-0.64516129,0,0
2,-0.540540541,0,0
2,-0.434782609,0,0
2,-0.344827586,0,0
2,-0.285714286,0,0
7,-14,0,0
7,-7.777777778,0,0
7,-6.363636364,0,0
7,-5.384615385,0,0
7,-4.666666667,0,0
7,-4.117647059,0,0
7,-3.684210526,0,0
7,-3.333333333,0,0
7,-3.043478261,0,0
7,-2.8,0,0
7,-2.258064516,0,0
7,-1.891891892,0,0
7,-1.52173913,0,0
7,-1.206896552,0,0
7,-1,0,0
10,-20,0,0
10,-11.11111111,0,0
10,-9.090909091,0,0
10,-7.692307692,0,0
10,-6.666666667,0,0
10,-5.882352941,0,0
10,-5.263157895,0,0
10,-4.761904762,0,0
10,-4.347826087,0,0
10,-4,0,0
10,-3.225806452,0,0
10,-2.702702703,0,0
10,-2.173913043,0,0
10,-1.724137931,0,0
10,-1.428571429,0,0
5,-7.142857143,0,0
5,-5,0,0
5,-4.166666667,0,0
5,-3.571428571,0,0
5,-3.125,0,0
5,-2.777777778,0,0
5,-2.5,0,0
5,-2.272727273,0,0
5,-2.083333333,0,0
5,-1.785714286,0,0
5,-1.470588235,0,0
5,-1.25,0,0
5,-0.961538462,0,0
5,-0.78125,0,0
5,-0.5,0,0
8,-11.42857143,0,0
8,-8,0,0
8,-6.666666667,0,0
8,-5.714285714,0,0
8,-5,0,0
8,-4.444444444,0,0
8,-4,0,0
8,-3.636363636,0,0
8,-3.333333333,0,0
8,-2.857142857,0,0
8,-2.352941176,0,0
8,-2,0,0
8,-1.538461538,0,0
8,-1.25,0,0
8,-0.8,0,0
12,-17.14285714,0,0
12,-12,0,0
12,-10,0,0
12,-8.571428571,0,0
12,-7.5,0,0
12,-6.666666667,0,0
12,-6,0,0
12,-5.454545455,0,0
12,-5,0,0
12,-4.285714286,0,0
12,-3.529411765,0,0
12,-3,0,0
12,-2.307692308,0,0
12,-1.875,0,0
12,-1.2,0,0
13.3508549,0,1.32457257,0
22.3992072,0,4.8003964,0
31.4263016,0,8.28684921,0
9.89030658,0,3.05484671,0
18.8266364,0,6.58668178,0
27.0596941,0,10.4701529,0
8.92010666,0,3.53994667,0
17.65046,0,7.17476999,0
26.2048176,0,10.8975912,0
8.64893138,0,3.67553431,0
17.1338554,0,7.43307229,0
25.4660136,0,11.2669932,0
8.4139249,0,3.79303755,0
16.6849401,0,7.65752993,0
24.8223142,0,11.5888429,0
8.20864215,0,3.89567893,0
16.2918191,0,7.85409046,0
24.2572406,0,11.8713797,0
8.02800583,0,3.98599708,0
15.9450975,0,8.02745127,0
23.7577432,0,12.1211284,0
7.86798395,0,4.06600802,0
15.6372935,0,8.18135323,0
23.3133994,0,12.3433003,0
7.72534694,0,4.13732653,0
15.1549126,0,8.42254368,0
22.3391059,0,12.8304471,0
7.32943438,0,4.33528281,0
14.4490442,0,8.7754779,0
21.3897003,0,13.3051499,0
7.04414865,0,4.47792568,0
13.7320664,0,9.13396678,0
19.882251,0,14.0588745,0
5.34,0,5.34,1
8,0,8,1
3,0,6.5,1
5,0,9.5,1
0,-3,0,1
0,-8,0,1
16,0,0,1
24,0,0,1
32,0,0,1
4.55,0,-3,1
11,0,-4.25,1
10,0,-1,1
